質問,回答,
なぜCO₂排出が抑えられるのですか。,"通常の焼却処理では、外部から大量の酸素を供給し、燃料を使用しながら高温で燃焼を行うため、有機物の炭素（C）が完全に酸化し、大量の二酸化炭素（CO₂）が発生します。
一方、熱分解では燃料を使用せず、廃棄物自体に含まれる酸素と、炉内に供給されるごく少量の酸素（約5〜10%）のみを利用して分解を進めます。 これにより、酸化反応が抑制され、炭素が完全にCO₂へと変化するのを防ぐため、CO₂の排出量が大幅に少なくなります。",
投入され分解した物はどれくらいに減容できますか？,投入物によりばらつきがありますが、1/200～1/300程度のセラミック灰となり、ほぼ気体化される状態になります。,
セラミック灰の他に排出されるものはありますか？また、その処理は？,セラミック残渣以外に排出されるものはありません。排ガス処理炉で熱分解され、ガスとして排気されます。,
装置の寿命は？,熱分解装置は一般的に「機械及び装置」として分類され、この場合、耐用年数は通常 10〜15年とされています。,
煙やセラミック灰には有害物質は含まれませんか？,平成23年度に実施された2度の検査で、排気・セラミック灰からもダイオキシンや有毒ガスは、基準値以下です。令和2年8月末に最新データ取得テストを予定しております。,
装置内の温度と酸素濃度はどれ位ですか？,"装置内温度は中心で300℃程度になります。酸素濃度は5％～8％程度ですので、燃焼ではありません。
装置の外側は、手で触れることはできますが、夏場は日光により熱く（車のボンネットのように）なりますので注意が必要です。",
メンテナンスは必要ですか？,"月に1回程度の定期メンテナンスが必要です。
主に装置のコンディション調整や清掃などを行いますが、これらは専門の業者が対応しますので、ご安心ください。
なお、装置には消耗部品はほとんど使用されていませんので、部品交換の頻度は少なく、維持管理も比較的容易です。",
自治体の設置許可は必要ですか？,"下記の3項目に該当しませんので焼却炉ではありません (環境省廃棄物対策課より)の設置許可の対象ではありません。熱分解に該当します。
※自治体への説明は必要と考えております。その際は、必ずメーカーもしくは弊社が同行させて頂きます。
① 高温で廃棄物を処理する機械
② 煙突から廃棄として煙が出るものには二次燃焼をしなければならない。
③ 燃焼した灰が大量に出る機械",
納期は？,発注後、製造に約3ヶ月、設置・調整・操作研修等で約1ヶ月となっています。,
医療機関への導入実績は？,現時点では、こちらの商品は医療機関への導入実績がございません。しかし、当社では医療機関様のニーズに応じた製品の提供を目指し、品質と安全性に対する厳しい基準を設けております。,
グループでの共同利用は？,決算を同一する法人であれば可能です（産業廃棄物収集運搬業許可が必要な場合があります）。,
医療機関のメリットは？,確実に感染性廃棄物処理費用を削減できます。排出量が減ることによってマニュフェスト作成等の内部工数も激減します。新型コロナウイルスの影響でディスポ材料の使用が大幅に増加する、そしてそれは感染性廃棄物処理費用の増加を意味します。医療機関内部で処理できるメリットは非常に大きいです。,
病院への導入実績は？,現時点では、こちらの商品は医療機関への導入実績がございません。しかし、当社では医療機関様のニーズに応じた製品の提供を目指し、品質と安全性に対する厳しい基準を設けております。,
滅菌減容装置とする理由は？,誤って「焼却炉」という概念で説明すると設置関連で非常に複雑になります。装置内は細菌が生存できる環境ではないので滅菌装置が同時に減容もするという考え方で統一しております。,
手動でセラミックス（残渣物）を取り出す方法は？,盤面の手動セレクトスイッチを手動に入れて(右)、セラミック排出モーターのボタンをONと取り出すことができます。停止したいときはボタンをOFFにして停止してください。,
手動と自動の切り替え方は？,盤面の手動セレクトスイッチを手動に入れる（右）と手動に切り替わります。自動に切り替えたいときは手動セレクトスイッチを切って(左)から、自動運転のボタンをONにします。,
セレクトスイッチのONとOFFはどうやって切り替える？,制御盤にある「手動運転」、「熱分解層ヒーター」、「ガス分解層ヒーター１」「ガス分解層ヒーター２」の４つの制御はセレクトスイッチになっており、左に傾けるとOFF、右がONになります。,
押しボタンスイッチのONとOFFはどうやって切り替える？,制御盤にある「自動運転」、「攪拌モーター」、「セラミック取出しモーター」、「給気ファン」、「排気ファン」の5つの制御は押しボタンになっており、上に配置された緑のボタンはON、下に配置された赤のボタンはOFFになります。,
制御盤の異常停止ランプが赤くなってるのはどうしたらいい？,自動運転モード時は装置が異常を検出すると安全装置が作動し、制御盤の「異常停止」ランプが赤に点滅し、排気ファン以外の運転が自動で停止します。この際は無理に装置を再稼働させず、販売元に現状について連絡をして指示を仰いでください。,
投入の手順を教えてください,まず、投入口を開あけて廃棄物を投入します。この際無機物などが混入していないことを必ず確認してください。 廃棄物を投入出来たら投入口の閉めてダンパーを開き、炉内に廃棄物を投入します。左右でわかれているので片方ずつ開閉を繰り返してください。もし廃棄物が炉内に投入されたことを確認する際はダンパーを完全に閉じてから投入口を開けて確認してください。,
投入口の開け方は？,投入台に上がり、装置上部にある投入口およびダンパーの制御ボタンから操作します。（装置の正面にある制御盤からは操作できません。）投入口横に設置されたスイッチの緑色ランプが点灯していることを確認し、「投入口開」ボタンを押して投入口を開放してください。緑ランプが点灯していない場合は、ダンパーが完全に閉じていない可能性があります。廃棄物が挟まっているなどの原因がないか確認し、ダンパーが完全に閉じてから再度操作を行ってください。,
ダンパーの開け方は？,ダンパーは 1（正面右）および2（正面左） の2箇所に分かれており、それぞれに対応するスイッチが投入口横に設置されています。セレクトスイッチを「開」にすると開きます。炉内に酸素が大量に供給されないように投入口が完全に閉じていることを確認してから操作を行って下さい。,
廃棄物の1度の投入量は？,投入量は投入口の約8割を上限としてください。過剰な投入は装置の故障や処理不良の原因となります。投入する際はダンパーの左右のバランスを考慮し、均等に投入してください。,
投入してもいいのはどんなものですか？,本装置は、有機物を含む多種多様な廃棄物を処理することが可能です。通常の廃棄物処理と異なり、細かい分別は必要ありません。ただし、処理の効率を高めるため、含水率や廃棄物のサイズに応じた簡単な前処理が推奨される場合があります。一般家庭や事業所から排出される日常的な有機廃棄物、含水率（70%ほど）の生ごみや家畜排せつ物、感染性廃棄物（使用済みおむつ、ガーゼ、ダイアライザーなど）が処理可能です。,
投入してはいけないものはどんなものですか？,本装置では炭素を含まない無機物（ガラス、金属、陶磁器など）の処理はできません。また、毒性や爆発性が高く、法的に特別な処理が義務付けられている廃棄物（PCB、廃油、火薬、放射性物質など）は、処理することができません。,
インバーター異常が起きた際はどうしたらいい？,"インバーター異常で給気・排気ファンが停止したときは、制御盤内部にインバーターの制御ボタンがあるので、以下の手順で再起動させる必要があります。
ファンのインバーター（左：排気ファン/右：給気ファン）のモニターにエラーが表示されます。「STOP/RESET」の赤いボタンを押して一度停止させ、「RUN」の緑のボタンを押して再起動します。その後、制御盤の「排気ファン/給気ファン」のボタンONを押して稼働を開始してください。",
サーマル異常が起きた際はどうしたらいい？,給気ファン、各モーターのサーマル機能に異常があった際は装置の温度に異常がある可能性があります。もし復旧しない場合は排気ファンまたは給気ファンに異常があるため確認してください。,
炉内の温度が下がり切ってしまったらどうしたらいい？,"長時間投入が行われなかったり、含水率の高いものを投入すると炉内の熱源が失われてしまう可能性があります。その際は、再度が熱源を作り、立ち上げが必要なので以下の自動運転または手動運転の手順に従ってください。

【自動運転による再起動】
① 手動運転スイッチをOFFの状態にして、自動運転スイッチをONにします。
② 含水率の低い木くずやもみ殻を投入口に8割ほどの量を投入します。
投入動作：投入口開→処理物投入→投入口閉→ダンパー開→ダンパー閉　（ダンパーの開閉は片方ずつ行ってください）
③ 制御盤から熱分解層ヒーターが稼働していることを確認します。もし、稼働が確認できない場合は再度②投入動作（処理物投入を除く）を行ってください。
④40分経過後、熱分解層ヒーターが自動で切れるので、制御盤より炉内の温度が上昇していればそのまま自動で運転を継続します。もし、温度上昇がみられない場合は手動運転に切り替えて以下の手動運転の手順に従ってください。

【手動運転による再起動】
①	 自動運転スイッチをOFFの状態にして、手動運転スイッチをONにします。
② 給気ファン・排気ファン・熱分解炉ヒーターオン・ガス分解炉ヒーター１・2をONにして1時間30分運転します。
③ 制御盤より熱分解層内部温度が約150℃になったところで、追加で木くずやもみ殻を同じ量投入します。
④ さらに2時間後に温度の上昇がみられたら、プラスチック類をカゴ2杯分程度入れ、自動運転に切り替えます。
※熱分解層内部温度が上昇しない（150℃以下）ときは攪拌モーターを1分～2分回転させて様子を見てください。",
完全に装置の電源が切れてしまったときはどうしたらいい？,"ブレーカーが落ちてしまっている可能性があります。元ブレーカーと制御盤内のブレーカーが落ちていないか確認してください。もしブレーカーが落ちている場合は、以下の手順で再起動および動作確認を行ってください。
①制御盤内部の扉を開き、「主幹」のブレーカーをOFFに切り替えます。
②元ブレーカーの電源を一度OFFにしてからONに切り替えます。
③制御盤に戻り、主幹以外のブレーカーもすべて（主幹を除いて6箇所）OFFに切り替えます。
④「主幹」のブレーカーをONに切り替えます。
⑤「制御電源」のブレーカーをONに切り替えます。
⑥セレクトスイッチ（制御盤の操作盤）でヒーター3箇所（熱分解層ヒーター、ガス分解層ヒーター１・２）をOFFに切り替えます。
⑦熱分解層ヒーターのブレーカーをONに切り替えます。
⑧セレクトスイッチ（制御盤の操作盤）で熱分解層ヒーターをONに切り替えます。
⑨ガス分解層のヒーターのブレーカーをONに切り替えます。
⑩セレクトスイッチ（制御盤の操作盤）でガス分解層ヒーター１・２をONに切り替えます。
⑪3箇所のヒーターの温度が問題なく上昇していることを制御盤の温度表示より確認してヒーターに異常がないことを確認します。
⑫ヒーター2箇所（熱分解層ヒーター、ガス分解層ヒーター）のブレーカーをOFFに切り替えます。
⑬セレクトスイッチ（制御盤の操作盤）でヒーター3箇所（熱分解層ヒーター、ガス分解層ヒーター１・２）をOFFに切り替えます。
⑭攪拌モーター・セラミック取出モーターのブレーカーをONに切り替えます。
⑮押しボタンスイッチ（制御盤の操作盤）で攪拌モーターをONに切り替えます。
⑯攪拌モーターが問題なく作動しているか（装置底部の歯車が回転）を確認します。
⑰押しボタンスイッチ（制御盤の操作盤）で攪拌モーターをOFFに切り替えます。
⑱押しボタンスイッチ（制御盤の操作盤）でセラミック取出モーターをONに切り替えます。
⑲セラミック取出モーターが問題なく作動しているか（装置側面2箇所の排出口から残渣物が排出される）を確認します。
⑳押しボタンスイッチ（制御盤の操作盤）でセラミック取出モーターをOFFに切り替えます。
㉑ 攪拌モーター・セラミック取出モーターのブレーカーをOFFに切り替えます。
㉒ エアコンプレッサー・排気ファンのブレーカーをONに切り替えます。
㉓ 押しボタンスイッチ（制御盤の操作盤）で排気ファンをONに切り替えます。
㉔ 排気ファンが問題なく作動しているか（装置背面の排気ファンが作動）を確認します。
㉕ 押しボタンスイッチ（制御盤の操作盤）で排気ファンをOFFに切り替えます。
㉖ エアコンプレッサー・排気ファンのブレーカーをOFFに切り替えます。
㉗ 給気ファンのブレーカーをONに切り替えます。
㉘ 押しボタンスイッチ（制御盤の操作盤）で給気ファンをONに切り替えます。
㉙ 給気ファンが問題なく作動しているか（装置側面の給気ファンが作動）を確認します。
㉚ 押しボタンスイッチ（制御盤の操作盤）で給気ファンをOFFに切り替えます。
㉛ ここまでの装置の各機能の動作確認ができたらすべてのブレーカーをONに切り替えます。
㉜ エアコンプレッサーが動作しているか確認し、もししていない場合は圧力が上がっていることをメモリから確認します。圧力が上がっていれば問題ありません。

以上の確認ができたら通常の運転が可能な状態です。自動運転に切り替えて運転を再開してください。",
煙突から大量の煙が出てきたらどうしたらいい？,"炉内の温度が上昇しすぎている可能性があります。
セレクトスイッチ（制御盤の操作盤）から熱分解炉のヒーターをOFF、押しボタンスイッチ（制御盤の操作盤）で攪拌モーターをOFFにしてください。",
安全弁が作動したらどうしたらいい？,炉上部より煙が吹き出し、安全弁が作動することがあります。安全弁は急激にガスが発生することで、炉内の圧力が高まった場合に機能しますが、装置の稼働に問題はありません。排ガスが漏れているようであれ排気ファンの周波数を上げるなどして調整してください。（2.5Hz単位で変更することを推奨します）通常は約20.0Hzで稼働しています。制御盤内部にあるインバーターより設定可能で、周波数を上げると回転率が上がるため、圧力上昇の防止になります。,
この装置は廃棄物処理以外の用途に使ってもいいですか？,いいえ、使用できません。この装置は廃棄物処理専用です。調理や暖房など意図しない方法で使うと、故障や火災の原因になります。,
運転中に装置を点検したり開けたりしても大丈夫ですか？,運転中に装置を点検したり開けたりしても大丈夫ですか？,
ヒーターが動いてるときに水をかけて冷やしてもいい？,ヒーター加熱中の急冷は、装置の破損や爆発のリスクがあります。冷却は自然に行ってください。,
運転中に装置を動かしてもいいですか？,危険なのでやめてください。運転中に装置を移動させると、転倒や配線の断線など事故の原因になります。,
装置の上に物を置いても問題ない？,置かないでください。排気口をふさぐと内部が過熱し、火災や故障につながります,
燃えにくい廃棄物をたくさん入れても大丈夫？,大量投入は避けてください。装置が過負荷になり、温度上昇や処理不良の原因となります。取扱説明書に従って適量を守ってください。,
投入物の大きさに制限はありますか？,大きすぎるものは分割して入れるとより効率的に処理が進みます。大型のものは熱が均一に伝わらず、処理不良を起こす可能性があります。,
排気管は触っても大丈夫ですか？,装置本体、排気管、ヒーター部などの高温部に触れないでください。→ 火傷・重大事故の原因になります。,
装置の周りに物を置いても良いですか？,換気の妨げになるようなものの配置、風通しの悪い構造物や可燃物を装置の周辺に設置しないでください。 排熱がこもり、火災や過熱の原因になります。,
地震などの災害が起きた際はどうしたらいいですか？,強風、地震、豪雨などの自然災害時には装置を使用しないでください。転倒・感電・排気逆流の危険があります。,
金属やガラスなどの無機物を投入してもいい？, いいえ、金属・ガラス・石・土砂・コンクリートなどの無機物は投入しないでください。処理できず、装置が損傷する可能性があります。,
塩素系やフッ素系の素材のものを投入してもいい？,いいえ、有毒ガスを発生する恐れのある物質（塩素系・フッ素系・PCBなど）は絶対に投入しないでください。健康被害や装置損傷の危険があります。,
放射性物質を投入してもいい？,いいえ、放射性物質の処理は禁止されています。法令違反であり、重大な健康被害の恐れがあります。,
化学薬品を投入してもいいですか？,いいえ、酸・アルカリ・溶剤などの化学薬品や未確認の薬剤は投入禁止です。強い化学反応や有毒ガスが発生する恐れがあります。,
スプレー缶や電池を投入しても大丈夫ですか？,いいえ、スプレー缶やバッテリーなどの加圧物は爆発の危険があるため、投入禁止です。,
農薬や除草剤を投入してもいいですか？,いいえ、燃焼時に有害成分が発生するため、農薬類は投入しないでください。,
可燃性液体を含む廃棄物を投入してもいい？,いいえ、灯油・ガソリン・アルコールなど可燃性液体は爆発・異常燃焼の原因になります。,
機密文書や機器を投入してもいいですか？,いいえ、情報漏洩や不適切な廃棄処理となる可能性があるため、無断投入は禁止です。,
複数の廃棄物を同時に入れてもいいですか？, 組み合わせによっては化学反応を起こす恐れがあるため、事前に安全性を確認してください。,
指定された電源電圧以外でも使用できますか？,いいえ、必ず指定の電源電圧・電流で使用してください。不適切な電源は故障や火災の原因となります。,
電源コードをたぐって本体を動かしても大丈夫ですか？,いいえ、電源コードを引っ張っての移動や持ち運びは絶対にしないでください。感電・断線・火災のおそれがあります。,
電源コードが傷んでいても使ってもいいですか？,いいえ、電源コードやプラグに傷・破損・ゆるみがある場合は、すぐに使用を中止し、修理・交換をしてください。,
電源ケーブルが熱を持っていますが、そのまま使用して大丈夫ですか？,いいえ、異常な発熱や焦げ臭いにおいがある場合はすぐに使用を中止し、点検してください。発火の恐れがあります。,
プラグを濡れた手で抜き差ししてもいいですか？,いいえ、感電の危険があるため、必ず乾いた手で行ってください。,
使用中に異音がしたり、異常な臭いがしたりした場合はどうすればいいですか？,すぐに使用を停止し、電源を切ってから販売元に連絡してください。無理に使用を続けると火災や事故の原因になります。,
落雷で装置の調子が悪くなった場合は？,使用を中止し、装置の安全確認を行ってください。制御装置などが損傷している可能性があります。,
地震や災害で装置に衝撃が加わった場合、再使用できますか？,いいえ、必ず外観・配線・固定状態・排気経路などを点検してください。不具合がある場合は使用しないでください。,
本体が転倒したり大きく傾いたりした場合でも使っていいですか？,いいえ、必ず専販売元に点検してもらってから再使用してください。内部破損や漏電の可能性があります。,
エラーが出たり、動作が止まったりしたとき、自己判断で分解しても大丈夫ですか？,いいえ、専門知識のない方の分解・修理は非常に危険です。必ず販売元に連絡してください。,
人間や動物を装置内に投入しても大丈夫ですか？,いいえ、装置は廃棄物処理のために設計されており、人間や動物を投入することは絶対に禁止です。重大な事故や健康被害を引き起こす恐れがあります。,
排気口にカバーやテープを貼って密閉しても良いですか？,いいえ、排気口を密閉すると内部圧力が上昇し、装置が破損する恐れがあります。絶対に行わないでください。,
メーカー指定以外の部品を使っても問題ありませんか？,いいえ、非正規部品を使用すると装置の動作不良や故障が生じる可能性が高くなります。必ずメーカーが指定した部品を使用してください。,
投入口や点検口に手を入れても大丈夫ですか？,いいえ、投入口や点検口に体の一部を入れることは非常に危険です。火傷や挟み込み事故の原因になりますので、絶対に行わないでください。,
幼児や動物を装置に近づけてもいいですか？,いいえ、幼児や動物が装置に近づくことは非常に危険です。十分に管理し、重大な事故を防ぐようにしてください。,
制御盤の設定（温度や時間）を無断で変更してもいいですか？,いいえ、制御盤の設定を無断で変更することは絶対に禁止です。設定ミスによる誤作動や処理不良を引き起こす可能性があります。,
装置を踏み台や椅子として使用しても大丈夫ですか？,いいえ、装置を踏み台や椅子代わりに使用することは非常に危険です。転倒や装置の破損、感電のリスクが伴いますので絶対に避けてください。,
装置を移動したいのですがどうしたらいいですか？,販売元の承認なく装置を移動させることは禁止されています。必ず販売元に許可を得たうえで移動させるようにして下さい。,
この装置はメンテナンスが必要ですか？,本装置の性能を維持し、安全に使用するために、定期的な点検とメンテナンスを行ってください。特に摩耗しやすい部品の交換や清掃は、安全な動作を維持するために重要です。メンテナンスの詳細は取扱説明書をご参照ください。,
投入口の蓋が開きません。どうしたらいいですか？,販売元に現状を連絡してください。コンプレッサーのエアーが漏れている可能性があります。黒いエアータンクの圧力計が0.8 Pa になれば正常ですが、それを下回っている場合はエアー漏れの可能性が高いです。,
投入口開閉用のエアーチューブが破損している場合どうしたらいいですか？,予備のチューブが必要になります。ダンパーの横の赤い2つのバルブを横にして閉めて作業を開始してください。チューブを外す時はチューブを接続している所を押込みながら外します。新しいチューブを差し替えて完了です。難しい場合は無理せず販売元へ連絡して指示を仰ぐか、修理を依頼してください。※交換作業の際はコンプレッサー起動状態でも問題ありません。,
投入口のダンパー部分の黒いチューブが破損したらどうしたらいい？,エアーシリンダーの黒い6mmのチューブと思われます。インシュロックで電線も一緒に縛っている状態だと思いますので、ニッパーでインシュロックを切断し、チューブだけ取り替えて、また電線と一緒に縛ってください。難しい場合は販売元へ連絡して指示を仰ぐか、修理を依頼してください。,
内部の状態を確認したいのですがどうしたらいいですか？,内部の確認をする際は必ず熱源が消えており、処理が完全に停止している状態で行ってください。熱源があると酸素が取り込まれ、炎上する恐れがあります。また、自動運転モードの際は投入口が開いた状態でダンパーは開きませんので、手動に切り替えてから投入口およびダンパーを開けてください。,
攪拌モーターの操作方法は？,"ONを押すと運転表示灯が点灯し、装置の下部の攪拌モーターが回転を開始します。
OFFを押すと運転表示灯が消灯し、攪拌モーターの回転が停止します。
※事前に手動運転の状態になっていることを確認してください。",
セラミック取出しモーターの操作方法は？,"ONを押すと運転表示灯が点灯し、パドルが回転して装置の下部の両側からセラミックスの排出が開始します。
OFFを押すと運転表示灯が消灯し、パドルの回転が停止してセラミックスの排出が停止します。
※事前に手動運転の状態になっていることを確認してください。",
給気ファンの操作方法は？,"ONを押すと運転表示灯が点灯し、給気ファン４台が稼働を開始します。
OFFを押すと運転表示灯が消灯し、給気ファン４台の稼働が停止します。
※事前に手動運転の状態になっていることを確認してください。",
排気ファンの操作方法は？,"ONを押すと運転表示灯が点灯し、排気ファンの稼働が開始します。
OFFを押すと運転表示灯が消灯し、排気ファンの稼働が停止します。
※事前に手動運転の状態になっていることを確認してください。",
 熱分解層ヒーターの操作方法は？,"ONに切り替えると運転表示灯が点灯し、熱分解層のヒーター（内部６本）が加熱を開始します。
OFFを押すと運転表示灯が消灯し、熱分解層のヒーター（内部６本）が停止します。
※事前に手動運転の状態になっていることを確認してください。",
ガス分解層ヒーターの操作方法は？,"ONを押すと運転表示灯が点灯し、ガス分解層のヒーター1（上部２本）とガス分解層のヒーター（下部２本）が加熱を開始します。
OFFを押すと運転表示灯が消灯し、ガス分解層のヒーター１（上部２本）とガス分解層のヒーター２（下部２本）が停止します。
※事前に手動運転の状態になっていることを確認してください。",
装置の各箇所の温度はどうやって確認できる？,各部の温度を監視するための温度センサーが装備されています。温度センサーは装置の7箇所に設置されており、それぞれの温度は制御盤に設置された温度計により確認することができます。温度計の上に対応する装置の部位名称の記載があります。赤字表記が実際に温度センサーによって測定された温度、黄色表記が自動運転時のシーケンスのため設定された温度を表しています。,
装置の炉内の温度が上がらないときはどうしたらいいですか？,熱分解内部温度が130℃を下回っている場合は熱源ができていない可能性があります。自動運転モードで熱源が作れないときは手動運転に切り替えて操作する必要があります。手動運転に切り替えて熱分解層ヒーター、排気ファン、給気ファン、ガス分解炉ヒーターをONにしてください。熱分解層内部温度が150℃に達してから自動運転に切り替えて運転を再開してください。,
装置立ち上げのコツはありますか？,装置立ち上げの際は熱源が完全に失われている状態なので、処理効率の高い物質を投入することをお勧めします。例えばもみ殻や木くずなど含水率の低いものが適切です。また、電熱ヒーターの周りにセラミックス残渣が溜まって熱が伝わりにくい可能性があるので、攪拌モーターを回すことも効果的です。,
内部の温度が上昇しないので廃棄物をもっと入れたほうがいいですか？,温度が上がらない状態で次々投入すると炉内に廃棄物が大量に溜まってしまい、次に温度が上昇した際に一度に熱分解が進み、大量のガスが噴き出る可能性があります。無理に投入を続けず、投入後3時間は様子を見ることをお勧めします。,
安全弁とは何ですか？,安全弁は、装置内のガスの圧力が上がりすぎたときに自動的にガスを外へ逃がすための装置です。これにより、装置の破損や事故を防ぐ役割を担っています。,
安全弁はどのような仕組みですか？,安全弁は、内部に「重りのついたプレート（板）」が取り付けられており、通常時はその重さによってしっかりと閉じています。しかし、ガスの圧力が一定以上に高まると、その力でプレートが押し上げられ、ガスが装置の外へ排出されます。,
安全弁の作動時に危険はありませんか？,ご安心ください。安全弁のプレートはボルトで固定されており、上下に動くだけの構造です。そのため、プレートが飛んだり、突然破損したりすることはありません。圧力を安全に逃がすための設計がされています。,
攪拌モーターはいつでも回していいですか？,状況によりますが、連続しての運転は1~5分程がおすすめです。また、攪拌モーターを作動させたときに内部から大きな音がする場合は直ちに停止してください。熱源の床がなく攪拌パドルがむき出しの状態だと、例えば固いプラスチックなどに接触してしまい、モーターが過負荷になる恐れがあります。もみ殻などの柔らかいものであれば問題ありません。,
プラスチック類の処理を効率化するためにはどうしたらいい？,プラスチックは温度は上昇するものの熱源の持続力がないので、バイオマス系の素材（木くずやもみ殻など）を混ぜるとより効率的に処理が進みます。,
1日に処理できる量はどのくらいですか？,"1日におよそ 3立方メートル（㎥） の処理が可能です。
これは 家庭用ごみ袋（45リットル）で約66袋分に相当します。ただし、処理するものの種類によってかさ比重（密度）が異なるため、実際の処理量や処理時間には差が出る場合があります。あくまでおおよその目安としてお考えください。",
あなた（チャットボット）は何ができますか？,私は熱分解装置（LRAD）の専門家で、この装置の検証をサポートすることができます。装置のしくみや操作方法をお伝え出来ます。,
攪拌モーターを回すと炉内で音がしますが大丈夫ですか？,音がする場合は注意が必要です。プラスチックなどの大きくて固い塊を投入していると、攪拌パドルとぶつかって「ガラガラ」という音がすることがあります。この場合、攪拌モーターに負担がかかっている可能性があるため、一度攪拌モーターを停止してください。できるだけ、おがくずのようにクッション性のある素材を一緒に投入すると、モーターの故障を防ぐことができます。,
LRADとはなんですか？,遠赤外線とイオン空気によって有機物をすべて分解し、リサイクル可能な無機パウダー（セラミックス残渣）にする次世代の低負荷環境システムです。一般的には遠赤外線熱分解装置と呼ばれます。,
排ガス処理炉の温度がかなり高温になっているけど大丈夫？,"はい、問題ありません。燃焼温度の最適化のため、一酸化炭素は特に高温での処理が求められます。排ガス処理のための燃焼室は、以下の温度範囲で動作します。
一次燃焼室：780℃～ 900℃
二次燃焼室：830℃～ 950℃",
感染性廃棄物は投入してもいいですか？,はい、問題ありません。LRADは感染性廃棄物を安全に処理することが可能です。しかし、感染性廃棄物は特別管理産業廃棄物に該当しますので、販売元に相談のうえガイドラインに従って処理してください。,
攪拌モーターは自動運転時にどのように回転しますか？,"ヒーターがオンの間、攪拌モーターは以下の動作を繰り返します。
•7.5秒正転 → 10秒停止 → 5秒逆転 → 10秒停止
　100分経過しても温度が設定値に達しない場合、攪拌モーターは一度停止し、その後以下の間欠運転モードに移行します。
•15分ごとに、7.5秒正転 → 10秒停止 → 5秒逆転

※ガス分解層の出口温度が設定温度を超えた場合、攪拌モーターは自動的に停止します。",
攪拌モーターは手動運転時にどのように回転しますか？,7.5秒正転 → 10秒停止 → 5秒逆転 → 10秒停止のパターンで攪拌運転を継続します。,
煙が出ているのを止めたいがどうしたらいいですか？,煙突から煙が排出される場合は炉内の温度が上昇しすぎている可能性があります。セレクトスイッチ（制御盤の操作盤）から熱分解炉のヒーターをOFF、押しボタンスイッチ（制御盤の操作盤）で攪拌モーターをOFFにしてください。または、給気量が多すぎている場合もあるので、吸気ファンを停止して排気ファンのみ稼働させるのも効果的です。,
